gene_name,gene_id_x,transcript_id,exon_coverage,CDS_coverage,start,end,nucleotide_count,variant_count
GABRG3,ENSG00000182256,ENST00000333743,30,50,27216429,27778373,561945,828
PDE1C,ENSG00000154678,ENST00000396193,52,61,31790793,32338941,548149,812
PLXDC2,ENSG00000120594,ENST00000377252,44,54,20105168,20578785,473618,801
NBEA,ENSG00000172915,ENST00000400445,40,42,35516424,36246872,730449,797
AGBL4,ENSG00000186094,ENST00000371839,27,38,48998527,50489585,1491059,790
DLGAP1,ENSG00000170579,ENST00000315677,36,58,3496030,4455335,959306,786
SUPT3H,ENSG00000196284,ENST00000371460,45,54,44796469,45345670,549202,782
GRIN2A,ENSG00000183454,ENST00000396573,74,88,9852376,10276611,424236,780
SNTG1,ENSG00000147481,ENST00000522124,43,52,50824233,51706678,882446,779
AKAP6,ENSG00000151320,ENST00000280979,42,64,32798479,33300567,502089,779
CAMK1D,ENSG00000183049,ENST00000378847,42,58,12391481,12877545,486065,778
MAD1L1,ENSG00000002822,ENST00000406869,45,56,1855430,2272878,417449,773
NRXN1,ENSG00000179915,ENST00000404971,48,54,50147488,51259537,1112050,763
ITPR2,ENSG00000123104,ENST00000381340,45,52,26490342,26986131,495790,763
GPR158,ENSG00000151025,ENST00000376351,43,60,25463991,25891155,427165,762
BBS9,ENSG00000122507,ENST00000242067,64,72,33169144,33645680,476537,760
ULK4,ENSG00000168038,ENST00000301831,40,51,41288098,42003922,715825,748
SOX5,ENSG00000134532,ENST00000451604,60,67,23685286,24102637,417352,745
TMEM117,ENSG00000139173,ENST00000266534,46,59,44229901,44783541,553641,734
FHIT,ENSG00000189283,ENST00000468189,21,48,59737133,61237133,1500001,721
KLHL29,ENSG00000119771,ENST00000486442,26,31,23608088,23931476,323389,716
LST3,ENSG00000257046,ENST00000540229,42,44,20968608,21243179,274572,708
LTBP1,ENSG00000049323,ENST00000404816,55,58,33172039,33624426,452388,707
PIEZO2,ENSG00000154864,ENST00000503781,37,38,10671524,11148587,477064,704
MSRA,ENSG00000175806,ENST00000317173,30,43,9911778,10286401,374624,694
UNC13C,ENSG00000137766,ENST00000260323,41,44,54305101,54920797,615697,693
BRE,ENSG00000158019,ENST00000344773,48,63,28113596,28561768,448173,691
KHDRBS2,ENSG00000112232,ENST00000281156,43,51,62389865,62996132,606268,681
ABR,ENSG00000159842,ENST00000302538,53,57,906758,1083168,176411,678
RBMS3,ENSG00000144642,ENST00000383767,43,51,29322837,30045567,722731,672
DMRT1,ENSG00000137090,ENST00000382276,56,78,841690,969090,127401,672
HS3ST4,ENSG00000182601,ENST00000331351,11,44,25703347,26149009,445663,669
CREB5,ENSG00000146592,ENST00000357727,50,61,28452144,28865511,413368,662
RALGAPA2,ENSG00000188559,ENST00000202677,42,43,20373411,20693131,319721,662
MYO5B,ENSG00000167306,ENST00000285039,78,88,47349183,47721463,372281,661
FRY,ENSG00000073910,ENST00000380250,73,80,32605437,32870794,265358,658
DYM,ENSG00000141627,ENST00000269445,52,73,46570190,46987172,416983,657
ISPD,ENSG00000214960,ENST00000407010,16,33,16130817,16460947,330131,657
MYRIP,ENSG00000170011,ENST00000302541,51,61,39851096,40301812,450717,656
NHS,ENSG00000188158,ENST00000380060,44,68,17393543,17754114,360572,651
BIRC6,ENSG00000115760,ENST00000421745,45,48,32582096,32843966,261871,642
MSI2,ENSG00000153944,ENST00000284073,45,58,55333895,55762046,428152,641
FAM19A2,ENSG00000198673,ENST00000416284,27,52,62102040,62586623,484584,640
EIF4G3,ENSG00000075151,ENST00000602326,49,56,21132976,21503343,370368,634
PTPRG,ENSG00000144724,ENST00000474889,40,56,61547585,62283288,735704,632
THSD7A,ENSG00000005108,ENST00000423059,36,51,11409984,11871824,461841,620
GABRB1,ENSG00000163288,ENST00000295454,63,73,47033377,47428461,395085,618
THADA,ENSG00000115970,ENST00000405006,41,43,43457991,43823113,365123,618
TRPC4,ENSG00000133107,ENST00000379681,57,62,38210778,38443939,233162,618
NCAM2,ENSG00000154654,ENST00000400546,38,45,22370633,22915650,545018,610
DHRSX,ENSG00000169084,ENST00000334651,45,61,2137557,2419019,281463,609
DCC,ENSG00000187323,ENST00000442544,73,82,49866542,51057784,1191243,607
ETV6,ENSG00000139083,ENST00000396373,40,62,11802788,12048336,245549,606
PRIM2,ENSG00000146143,ENST00000607273,38,51,57182422,57513375,330954,603
VPS13D,ENSG00000048707,ENST00000358136,59,62,12290124,12572099,281976,602
PRKCB,ENSG00000166501,ENST00000303531,51,59,23847345,24231932,384588,601
EGFLAM,ENSG00000164318,ENST00000354891,50,60,38258511,38464651,206141,601
BNC2,ENSG00000173068,ENST00000380672,59,72,16409501,16870704,461204,598
TCF12,ENSG00000140262,ENST00000438423,51,59,57210821,57580712,369892,597
CELF2,ENSG00000048740,ENST00000450189,49,58,11059893,11378666,318774,597
UNC5D,ENSG00000156687,ENST00000404895,57,61,35092975,35648143,555169,594
ARHGAP6,ENSG00000047648,ENST00000337414,43,49,11155664,11683821,528158,593
DNAH9,ENSG00000007174,ENST00000262442,60,64,11501748,11873065,371318,587
XYLT1,ENSG00000103489,ENST00000261381,44,63,17195626,17564738,369113,587
ANO3,ENSG00000134343,ENST00000256737,47,53,26352971,26684835,331865,585
NAV2,ENSG00000166833,ENST00000396087,60,63,19735143,20140120,404978,583
CAMTA1,ENSG00000171735,ENST00000303635,37,52,6845384,7829766,984383,578
NUBPL,ENSG00000151413,ENST00000281081,49,55,32030601,32330430,299830,578
RYR3,ENSG00000198838,ENST00000389232,51,53,33603177,34158303,555127,573
DTNB,ENSG00000138101,ENST00000406818,39,45,25600112,25896503,296392,572
FBXL7,ENSG00000183580,ENST00000504595,34,60,15500305,15939900,439596,570
C11orf49,ENSG00000149179,ENST00000378615,57,63,46958329,47183798,225470,570
CCDC171,ENSG00000164989,ENST00000380701,38,46,15553084,15974037,420954,564
CDH4,ENSG00000179242,ENST00000360469,47,60,59827482,60515673,688192,563
DOCK3,ENSG00000088538,ENST00000266037,44,50,50712672,51421629,708958,558
SEMA5A,ENSG00000112902,ENST00000382496,37,58,9035138,9546187,511050,558
CNTLN,ENSG00000044459,ENST00000380647,44,46,17134980,17503921,368942,558
HECW1,ENSG00000002746,ENST00000395891,41,62,43152198,43605600,453403,556
LMF1,ENSG00000103227,ENST00000262301,48,57,903634,1020999,117366,556
PLCB1,ENSG00000182621,ENST00000338037,50,54,8113272,8865547,752276,555
PXDNL,ENSG00000147485,ENST00000356297,43,47,52232139,52722005,489867,554
FMN1,ENSG00000248905,ENST00000334528,38,45,33057747,33360085,302339,551
ALK,ENSG00000171094,ENST00000389048,63,79,29415640,30144432,728793,545
SLIT2,ENSG00000145147,ENST00000504154,52,56,20255187,20622180,366994,544
DCLK1,ENSG00000133083,ENST00000255448,50,59,36345478,36705443,359966,544
FRMD5,ENSG00000171877,ENST00000417257,57,63,44162962,44487429,324468,543
FAM189A1,ENSG00000104059,ENST00000261275,22,30,29412457,29862927,450471,540
SLC24A2,ENSG00000155886,ENST00000341998,74,84,19507450,19786926,279477,539
GAK,ENSG00000178950,ENST00000314167,45,50,843066,926086,83021,539
LDB2,ENSG00000169744,ENST00000304523,45,58,16503164,16900432,397269,536
KIAA1217,ENSG00000120549,ENST00000376454,56,61,24498093,24836772,338680,536
DNAH3,ENSG00000158486,ENST00000261383,59,66,20944433,21170762,226330,535
CEP112,ENSG00000154240,ENST00000392769,42,48,63631659,64187987,556329,534
F13A1,ENSG00000124491,ENST00000264870,67,75,6144318,6321067,176750,534
APBB2,ENSG00000163697,ENST00000508593,44,66,40817341,41216549,399209,533
OCA2,ENSG00000104044,ENST00000354638,71,80,28000021,28344504,344484,531
IFT140,ENSG00000187535,ENST00000426508,47,56,1560428,1662111,101684,527
CDH2,ENSG00000170558,ENST00000269141,52,62,25530930,25757410,226481,526
MYO18B,ENSG00000133454,ENST00000335473,36,51,26138120,26427007,288888,525
CNTNAP3B,ENSG00000154529,ENST00000377564,17,20,43684902,43924049,239148,525
LARP4B,ENSG00000107929,ENST00000316157,47,53,855484,931702,76219,518
INADL,ENSG00000132849,ENST00000371158,48,52,62208149,62629592,421444,513
ADAMTS12,ENSG00000151388,ENST00000504830,59,66,33523640,33892297,368658,512
CCDC73,ENSG00000186714,ENST00000335185,35,43,32623792,32816187,192396,508
PHKB,ENSG00000102893,ENST00000323584,68,76,47495238,47734254,239017,507
FOCAD,ENSG00000188352,ENST00000380249,48,55,20658308,20995954,337647,502
CLEC16A,ENSG00000038532,ENST00000409790,40,50,11038345,11276046,237702,502
PDZD2,ENSG00000133401,ENST00000438447,43,65,31639517,32111037,471521,501
SPATA13,ENSG00000182957,ENST00000424834,43,56,24553944,24881207,327264,500
CCDC91,ENSG00000123106,ENST00000545336,43,52,28343379,28703099,359721,499
JAZF1,ENSG00000153814,ENST00000283928,39,46,27870192,28220362,350171,499
CTIF,ENSG00000134030,ENST00000382998,42,57,46065529,46388277,322749,498
HDAC9,ENSG00000048052,ENST00000441542,46,52,18535926,19035685,499760,497
NELL2,ENSG00000184613,ENST00000437801,57,60,44902411,45270880,368470,497
NRG1,ENSG00000157168,ENST00000356819,60,64,32405728,32622548,216821,497
TCF4,ENSG00000196628,ENST00000398339,77,84,52895167,53303185,408019,496
PCSK2,ENSG00000125851,ENST00000262545,53,61,17207636,17465223,257588,490
LARGE,ENSG00000133424,ENST00000354992,50,83,33668847,34316409,647563,489
SAMD4A,ENSG00000020577,ENST00000392067,50,65,55034635,55260033,225399,489
MYO3A,ENSG00000095777,ENST00000265944,63,73,26223196,26501456,278261,484
TPO,ENSG00000115705,ENST00000345913,73,78,1417233,1546498,129266,484
FAF1,ENSG00000185104,ENST00000396153,41,50,50905150,51425935,520786,482
NF1,ENSG00000196712,ENST00000358273,66,70,29421945,29704695,282751,481
KIAA0556,ENSG00000047578,ENST00000261588,50,62,27561473,27791690,230218,480
TBC1D22A,ENSG00000054611,ENST00000337137,53,60,47158518,47571336,412819,479
CABIN1,ENSG00000099991,ENST00000398319,76,84,24407868,24574596,166729,479
MACF1,ENSG00000127603,ENST00000545844,59,61,39549034,39952789,403756,476
RFX3,ENSG00000080298,ENST00000382004,49,59,3218297,3525983,307687,476
RAPGEF5,ENSG00000136237,ENST00000344041,39,46,22157909,22396533,238625,475
HCN1,ENSG00000164588,ENST00000303230,49,69,45259349,45696253,436905,473
DNAH11,ENSG00000105877,ENST00000328843,45,47,21582833,21941457,358625,470
UBE2E2,ENSG00000182247,ENST00000396703,31,47,23244784,23633284,388501,466
WDR7,ENSG00000091157,ENST00000254442,46,53,54318616,54698828,380213,465
DNAJC1,ENSG00000136770,ENST00000376980,37,41,22045466,22292654,247189,465
PLEKHA5,ENSG00000052126,ENST00000429027,47,51,19282702,19529334,246633,463
ERG,ENSG00000157554,ENST00000417133,44,56,39751949,40033618,281670,460
SH3KBP1,ENSG00000147010,ENST00000397821,50,53,19552093,19905719,353627,459
POLA1,ENSG00000101868,ENST00000379059,37,39,24712064,25015103,303040,458
C20orf26,ENSG00000089101,ENST00000245957,56,64,20033196,20341346,308151,455
HLCS,ENSG00000159267,ENST00000399120,54,84,38123493,38338773,215281,455
CADPS,ENSG00000163618,ENST00000383710,54,59,62384022,62861054,477033,453
CHD9,ENSG00000177200,ENST00000566029,41,45,53088945,53363062,274118,453
ZFAND3,ENSG00000156639,ENST00000287218,34,46,37787275,38122400,335126,450
FRMD4A,ENSG00000151474,ENST00000357447,34,57,13685712,14372883,687172,449
CCBE1,ENSG00000183287,ENST00000439986,53,83,57098172,57364612,266441,440
TBC1D1,ENSG00000065882,ENST00000261439,52,59,37892708,38140794,248087,440
GAS7,ENSG00000007237,ENST00000432992,53,62,9817167,10101868,284702,439
PKHD1,ENSG00000170927,ENST00000371117,76,82,51480098,51952423,472326,438
EML6,ENSG00000214595,ENST00000356458,28,33,54951679,55199154,247476,437
PDE3A,ENSG00000172572,ENST00000359062,52,61,20522179,20837315,315137,435
OSBPL1A,ENSG00000141447,ENST00000319481,46,56,21742008,21977823,235816,434
PAK7,ENSG00000101349,ENST00000378429,44,71,9518036,9819689,301654,432
MLLT3,ENSG00000171843,ENST00000380338,46,59,20341663,20622542,280880,432
ADAMTS20,ENSG00000173157,ENST00000389420,46,47,43747669,43945724,198056,432
MAP3K15,ENSG00000180815,ENST00000338883,38,42,19378174,19533379,155206,430
CACNA1H,ENSG00000196557,ENST00000348261,51,53,1203241,1271768,68528,426
POU6F2,ENSG00000106536,ENST00000403058,44,60,39017598,39504390,486793,425
SLC8A1,ENSG00000183023,ENST00000403092,40,62,40342171,40739501,397331,425
CNTN1,ENSG00000018236,ENST00000551295,65,72,41086354,41466220,379867,425
NCOA1,ENSG00000084676,ENST00000406961,46,60,24714801,24993571,278771,423
SSH2,ENSG00000141298,ENST00000269033,43,55,27952956,28257170,304215,421
NLGN4X,ENSG00000146938,ENST00000381095,42,69,5808067,6146904,338838,417
GNAL,ENSG00000141404,ENST00000334049,40,53,11688955,11885684,196730,416
METTL15,ENSG00000169519,ENST00000407364,30,47,28129901,28355054,225154,414
MCPH1,ENSG00000147316,ENST00000344683,52,66,6264113,6501144,237032,413
SH3GL2,ENSG00000107295,ENST00000380607,41,59,17579121,17797127,218007,413
UBR4,ENSG00000127481,ENST00000375254,63,65,19401000,19536770,135771,412
PHEX,ENSG00000102174,ENST00000379374,63,72,22050559,22269427,218869,411
TSHZ2,ENSG00000182463,ENST00000371497,11,52,51588946,52111869,522924,410
DCAF8L2,ENSG00000189186,ENST00000451261,8,44,27608500,27766908,158409,410
RERE,ENSG00000142599,ENST00000337907,47,60,8412457,8877524,465068,408
CHN2,ENSG00000106069,ENST00000222792,43,51,29234028,29553944,319917,408
TTC6,ENSG00000139865,ENST00000553443,36,40,38091270,38311668,220399,406
SHISA6,ENSG00000188803,ENST00000441885,22,34,11144580,11467380,322801,405
NLGN4Y,ENSG00000165246,ENST00000355905,21,29,16635626,16955606,319981,405
DIAPH3,ENSG00000139734,ENST00000400324,56,61,60239717,60738121,498405,402
ANKFN1,ENSG00000153930,ENST00000318698,42,59,54230836,54560007,329172,401
SMG6,ENSG00000070366,ENST00000263073,49,64,1963137,2207065,243929,401
ZNF521,ENSG00000198795,ENST00000361524,44,53,22641890,22932116,290227,400
SLC2A13,ENSG00000151229,ENST00000280871,33,52,40148823,40499661,350839,399
EGFR,ENSG00000146648,ENST00000275493,78,82,55086794,55279321,192528,399
CASK,ENSG00000147044,ENST00000378166,48,54,41379343,41782268,402926,396
CACNA1D,ENSG00000157388,ENST00000288139,81,84,53529076,53847760,318685,393
TSPEAR,ENSG00000175894,ENST00000323084,48,68,45917775,46131495,213721,391
KIF6,ENSG00000164627,ENST00000287152,50,55,39297766,39693181,395416,390
CORIN,ENSG00000145244,ENST00000273857,57,62,47596015,47839966,243952,390
KCTD8,ENSG00000183783,ENST00000360029,31,36,44175926,44450824,274899,388
GRM7,ENSG00000196277,ENST00000357716,51,61,6902802,7783198,880397,387
EFCAB6,ENSG00000186976,ENST00000262726,48,56,43924624,44208157,283534,385
ITSN2,ENSG00000198399,ENST00000355123,48,56,24425733,24583583,157851,385
ARHGAP8,ENSG00000241484,ENST00000389773,54,58,45098382,45258664,160283,384
PRR5-ARHGAP8,ENSG00000248405,ENST00000352766,52,56,45098355,45258586,160232,384
MIPEP,ENSG00000027001,ENST00000382172,39,48,24304328,24463558,159231,384
KIF16B,ENSG00000089177,ENST00000408042,53,54,16347488,16554078,206591,383
LIMCH1,ENSG00000064042,ENST00000313860,50,55,41362804,41702061,339258,381
SLC22A23,ENSG00000137266,ENST00000406686,40,48,3269692,3456793,187102,379
CHST9,ENSG00000154080,ENST00000284224,19,51,24495595,24765281,269687,377
JAKMIP1,ENSG00000152969,ENST00000409021,57,64,6027926,6202282,174357,377
NBAS,ENSG00000151779,ENST00000281513,70,71,15307033,15701454,394422,376
KCNQ1,ENSG00000053918,ENST00000155840,66,73,2466221,2870339,404119,375
MKL1,ENSG00000196588,ENST00000355630,39,60,40806285,41032689,226405,375
FAAH2,ENSG00000165591,ENST00000374900,36,43,57313139,57515629,202491,374
VWF,ENSG00000110799,ENST00000261405,73,81,6058040,6233841,175802,373
SUN1,ENSG00000164828,ENST00000401592,56,61,872138,914539,42402,372
TLN2,ENSG00000171914,ENST00000561311,50,58,62853564,63136830,283267,371
PHACTR1,ENSG00000112137,ENST00000379348,34,46,12718542,12934232,215691,371
MLLT10,ENSG00000078403,ENST00000307729,44,50,21823272,22032559,209288,370
PCBP3,ENSG00000183570,ENST00000400314,38,52,47063608,47362368,298761,369
PIP4K2A,ENSG00000150867,ENST00000376573,45,58,22823778,23003484,179707,369
SGMS1,ENSG00000198964,ENST00000361781,15,48,52065360,52383743,318384,368
SCFD2,ENSG00000184178,ENST00000401642,39,63,53739149,54232242,493094,367
LHFP,ENSG00000183722,ENST00000379589,17,62,39917029,40177308,260280,364
PXDN,ENSG00000130508,ENST00000252804,43,47,1635659,1748278,112620,364
ST18,ENSG00000147488,ENST00000276480,37,63,53023399,53322303,298905,361
DAB1,ENSG00000173406,ENST00000371236,50,58,57460451,57889729,429279,359
BICC1,ENSG00000122870,ENST00000373886,48,53,60272900,60591195,318296,359
AGMO,ENSG00000187546,ENST00000342526,39,44,15239943,15601640,361698,358
ZNF385D,ENSG00000151789,ENST00000281523,37,56,21459915,21792927,333013,358
RIT2,ENSG00000152214,ENST00000326695,46,52,40323192,40695656,372465,357
ZMAT4,ENSG00000165061,ENST00000297737,32,41,40388113,40755344,367232,357
MAPRE2,ENSG00000166974,ENST00000300249,43,51,32621324,32723434,102111,355
NTN1,ENSG00000065320,ENST00000173229,38,57,8924859,9147317,222459,353
SEZ6L,ENSG00000100095,ENST00000248933,56,58,26565541,26776339,210799,353
CAMKMT,ENSG00000143919,ENST00000378494,32,40,44589103,44999731,410629,351
RBFOX2,ENSG00000100320,ENST00000438146,57,60,36140252,36424473,284222,350
KIF13B,ENSG00000197892,ENST00000524189,45,47,28924796,29120590,195795,348
ANKRD28,ENSG00000206560,ENST00000399451,42,47,15708743,15901278,192536,348
PHF21A,ENSG00000135365,ENST00000418153,42,56,45955032,46142561,187530,348
AFAP1,ENSG00000196526,ENST00000420658,52,58,7760442,7941653,181212,347
ATXN10,ENSG00000130638,ENST00000252934,64,73,46067679,46241187,173509,347
FGD4,ENSG00000139132,ENST00000427716,59,69,32655094,32798984,143891,347
MUM1,ENSG00000160953,ENST00000344663,43,54,1285890,1378430,92541,347
SKAP1,ENSG00000141293,ENST00000336915,36,45,46210802,46507552,296751,345
COMMD1,ENSG00000173163,ENST00000311832,40,62,62132782,62363382,230601,343
AP2A2,ENSG00000183020,ENST00000448903,44,48,925881,1012239,86359,343
RUNX1,ENSG00000159216,ENST00000300305,58,71,36160098,36421641,261544,342
GRIN2B,ENSG00000273079,ENST00000609686,59,85,13693165,14133053,439889,341
MEMO1,ENSG00000162959,ENST00000295065,43,45,32090129,32235626,145498,341
ASIC2,ENSG00000108684,ENST00000225823,39,54,31340105,31620006,279902,340
GSG1L,ENSG00000169181,ENST00000447459,36,40,27798856,28074830,275975,340
RFTN1,ENSG00000131378,ENST00000334133,44,61,16357363,16555213,197851,337
ATP2B2,ENSG00000157087,ENST00000360273,72,82,10365707,10547268,181562,336
SGCZ,ENSG00000185053,ENST00000382080,28,56,13947373,15095848,1148476,334
MYO10,ENSG00000145555,ENST00000513610,48,53,16665395,16936372,270978,334
EHBP1,ENSG00000115504,ENST00000263991,42,50,62933001,63273622,340622,331
SPECC1,ENSG00000128487,ENST00000261503,51,59,19990335,20218068,227734,331
CNKSR2,ENSG00000149970,ENST00000379510,40,43,21392980,21672813,279834,329
ACACA,ENSG00000132142,ENST00000353139,73,81,35441923,35766871,324949,326
TNS3,ENSG00000136205,ENST00000398879,47,53,47314754,47579199,264446,326
SIRPB1,ENSG00000101307,ENST00000381605,30,41,1544167,1600655,56489,325
BICD1,ENSG00000151746,ENST00000281474,54,60,32260163,32530811,270649,323
NCOR1,ENSG00000141027,ENST00000268712,50,54,15932471,16118863,186393,323
HSD17B12,ENSG00000149084,ENST00000278353,40,50,43702259,43878160,175902,323
FTO,ENSG00000140718,ENST00000471389,47,78,53737875,54155853,417979,322
VPS13C,ENSG00000129003,ENST00000261517,47,48,62144592,62352647,208056,321
EFHC2,ENSG00000183690,ENST00000420999,24,30,44007911,44202918,195008,321
UPF2,ENSG00000151461,ENST00000356352,52,56,11962021,12077896,115876,321
P2RY8,ENSG00000182162,ENST00000381297,21,75,1581465,1656000,74536,319
LAMA3,ENSG00000053747,ENST00000313654,79,81,21269407,21535030,265624,318
C7orf50,ENSG00000146540,ENST00000397098,22,43,1036642,1177876,141235,317
SRGAP3,ENSG00000196220,ENST00000383836,64,82,9022275,9291063,268789,316
SKAP2,ENSG00000005020,ENST00000345317,38,47,26706681,26904362,197682,316
POLN,ENSG00000130997,ENST00000511885,50,59,2073645,2243848,170204,316
SMARCA2,ENSG00000080503,ENST00000382203,51,58,2021945,2193624,171680,315
HIVEP1,ENSG00000095951,ENST00000379388,47,54,12012571,12165232,152662,313
GATAD2A,ENSG00000167491,ENST00000360315,52,66,19496642,19619740,123099,312
PSD3,ENSG00000156011,ENST00000327040,47,59,18384811,18871196,486386,311
STARD9,ENSG00000159433,ENST00000290607,34,38,42867857,43013179,145323,311
DTNA,ENSG00000134769,ENST00000598334,67,77,32173303,32471104,297802,309
FLT1,ENSG00000102755,ENST00000282397,75,78,28874489,29069232,194744,309
RUNX2,ENSG00000124813,ENST00000371438,66,78,45296106,45518816,222711,308
NOL4,ENSG00000101746,ENST00000261592,47,54,31431064,31803515,372452,307
DCDC2,ENSG00000146038,ENST00000378454,47,56,24171984,24358280,186297,307
SLX4IP,ENSG00000149346,ENST00000334534,44,59,10415951,10604027,188077,306
ELAVL2,ENSG00000107105,ENST00000397312,55,72,23690105,23826063,135959,306
EYS,ENSG00000188107,ENST00000503581,30,40,64429876,66417118,1987243,305
EPS8,ENSG00000151491,ENST00000281172,46,52,15773096,15942510,169415,305
CHD6,ENSG00000124177,ENST00000373233,55,61,40030741,40247133,216393,304
EBF2,ENSG00000221818,ENST00000520164,49,59,25699246,25902913,203668,304
ARHGAP44,ENSG00000006740,ENST00000379672,41,46,12692856,12894959,202104,304
LRP6,ENSG00000070018,ENST00000261349,71,79,12268959,12419746,150788,304
MYO5A,ENSG00000197535,ENST00000399231,72,75,52599480,52821247,221768,303
PI4KA,ENSG00000241973,ENST00000255882,54,61,21061979,21213100,151122,302
STX8,ENSG00000170310,ENST00000306357,35,52,9153788,9479553,325766,301
CLVS1,ENSG00000177182,ENST00000519846,37,61,62200514,62414186,213673,301
SMARCC1,ENSG00000173473,ENST00000254480,47,51,47626762,47823407,196646,301
COX7B2,ENSG00000170516,ENST00000396533,17,62,46736844,46911224,174381,301
PARD3,ENSG00000148498,ENST00000374789,56,59,34398489,35104249,705761,300
SYNDIG1,ENSG00000101463,ENST00000376862,27,77,24449835,24647252,197418,300
SHB,ENSG00000107338,ENST00000377707,44,45,37919131,38069208,150078,298
ANO2,ENSG00000047617,ENST00000327087,44,50,5671817,6055398,383582,297
USP12,ENSG00000152484,ENST00000282344,31,48,27640293,27746033,105741,297
RGS12,ENSG00000159788,ENST00000344733,53,59,3315874,3441632,125759,296
CCDC30,ENSG00000186409,ENST00000428554,31,47,42929025,43119852,190828,295
