gene_name,gene_id_x,transcript_id,biotype,gene_id_y,exon_coverage,CDS_coverage
NPIPB9,ENSG00000196993,ENST00000550983,transcript,ENSG00000196993,1.205594392,2.067953794
AC003102.1,ENSG00000214921,ENST00000399246,transcript,ENSG00000214921,1.21855751,13.29383796
KCNK12,ENSG00000184261,ENST00000327876,transcript,ENSG00000184261,1.221633609,16.20814538
POTEB,ENSG00000233917,ENST00000439682,transcript,ENSG00000233917,1.242855741,1.421753732
PPP1R3E,ENSG00000235194,ENST00000452015,transcript,ENSG00000235194,1.26576369,8.569216917
AC004899.1,ENSG00000267970,ENST00000596947,transcript,ENSG00000267970,1.293065819,16.71874956
AGAP4,ENSG00000188234,ENST00000448048,transcript,ENSG00000188234,1.326812645,1.890888701
AC127496.1,ENSG00000175911,ENST00000321930,transcript,ENSG00000175911,1.3320698,4.785193419
AL590822.1,ENSG00000203301,ENST00000545087,transcript,ENSG00000203301,1.428946521,28.62934823
PABPC1L2A,ENSG00000186288,ENST00000373519,transcript,ENSG00000186288,1.445565468,2.944823967
NPIPA8,ENSG00000214940,ENST00000525596,transcript,ENSG00000214940,1.448404476,2.034548221
SERF1B,ENSG00000205572,ENST00000380750,transcript,ENSG00000205572,1.469141393,4.762593402
MTRNR2L10,ENSG00000256045,ENST00000545075,transcript,ENSG00000256045,1.469654237,10.75212222
PTPN20A,ENSG00000204179,ENST00000374339,transcript,ENSG00000204179,1.485316198,1.486159646
AP000974.1,ENSG00000215504,ENST00000544076,transcript,ENSG00000215504,1.502902597,5.624822896
PABPC1L2B,ENSG00000184388,ENST00000373521,transcript,ENSG00000184388,1.507945454,3.432177667
AC012215.1,ENSG00000233863,ENST00000437887,transcript,ENSG00000233863,1.508309701,13.41813961
ASCL2,ENSG00000183734,ENST00000331289,transcript,ENSG00000183734,1.508906975,6.194844162
FKSG52,ENSG00000224838,ENST00000412930,transcript,ENSG00000224838,1.5247832,1.521134946
CNR2,ENSG00000188822,ENST00000536471,transcript,ENSG00000188822,1.536348077,73.95203796
KM-PA-2,ENSG00000204775,ENST00000377412,transcript,ENSG00000204775,1.538945792,1.546402519
PLGLB2,ENSG00000125551,ENST00000359481,transcript,ENSG00000125551,1.56618603,2.048961638
AGAP8,ENSG00000174194,ENST00000425119,transcript,ENSG00000174194,1.575284893,2.525914642
NBPF16,ENSG00000203827,ENST00000417839,transcript,ENSG00000203827,1.618955847,2.072574604
AMY1B,ENSG00000174876,ENST00000330330,transcript,ENSG00000174876,1.631112074,1.944683195
MBD3L4,ENSG00000205718,ENST00000381394,transcript,ENSG00000205718,1.643682318,2.067674285
MTRNR2L1,ENSG00000256618,ENST00000540040,transcript,ENSG00000256618,1.674223023,19.09568056
ONECUT3,ENSG00000205922,ENST00000382349,transcript,ENSG00000205922,1.733380941,14.48013018
FUT1,ENSG00000174951,ENST00000310160,transcript,ENSG00000174951,1.765803029,81.78661187
PRAMEF3,ENSG00000204503,ENST00000376173,transcript,ENSG00000204503,1.787184518,1.821137026
FAM133A,ENSG00000179083,ENST00000538690,transcript,ENSG00000179083,1.789097675,25.58053495
NPIPA2,ENSG00000254852,ENST00000553201,transcript,ENSG00000254852,1.789114009,1.793382542
SPDYE2B,ENSG00000173678,ENST00000507450,transcript,ENSG00000173678,1.804847268,2.00726033
RPS17,ENSG00000184779,ENST00000330339,transcript,ENSG00000184779,1.855241182,2.592142093
DEFB107B,ENSG00000198129,ENST00000355602,transcript,ENSG00000198129,1.865884459,2.478193214
CTXN1,ENSG00000178531,ENST00000318978,transcript,ENSG00000178531,1.86643607,22.84041545
AC139426.2,ENSG00000233812,ENST00000435655,transcript,ENSG00000233812,1.867202917,3.23360071
DEFB105B,ENSG00000186599,ENST00000335510,transcript,ENSG00000186599,1.873453503,1.971944003
FAM27E2,ENSG00000204807,ENST00000377529,transcript,ENSG00000204807,1.89019077,24.238512
GAGE13,ENSG00000237597,ENST00000381751,transcript,ENSG00000237597,1.913570851,2.395273039
RP11-93B14.6,ENSG00000167046,ENST00000370520,transcript,ENSG00000167046,1.924077775,14.42629977
DUX4L4,ENSG00000258834,ENST00000538692,transcript,ENSG00000258834,1.925720716,1.97382995
ZNF501,ENSG00000186446,ENST00000396048,transcript,ENSG00000186446,1.935657524,71.36120295
CTD-3203P2.2,ENSG00000245888,ENST00000566854,transcript,ENSG00000245888,1.963747865,30.42072254
MTRNR2L6,ENSG00000270672,ENST00000604952,transcript,ENSG00000270672,2.006303386,19.88201389
TBC1D3B,ENSG00000224226,ENST00000454519,transcript,ENSG00000224226,2.020185324,2.330863902
RP11-15E18.4,ENSG00000267772,ENST00000592917,transcript,ENSG00000267772,2.025939138,3.37205985
BHLHA9,ENSG00000205899,ENST00000391429,transcript,ENSG00000205899,2.074926398,2.610755108
TNFAIP8L1,ENSG00000185361,ENST00000536716,transcript,ENSG00000185361,2.102215098,26.9533959
MTRNR2L12,ENSG00000269028,ENST00000600213,transcript,ENSG00000269028,2.122414118,15.13845833
SPATA31A1,ENSG00000204849,ENST00000377647,transcript,ENSG00000204849,2.13551003,2.957759838
C16orf54,ENSG00000185905,ENST00000329410,transcript,ENSG00000185905,2.173063439,21.20743854
RGPD2,ENSG00000185304,ENST00000398146,transcript,ENSG00000185304,2.185997147,2.455039979
SPACA5,ENSG00000171489,ENST00000304355,transcript,ENSG00000171489,2.196690303,2.493441815
NPIPA7,ENSG00000214967,ENST00000530217,transcript,ENSG00000214967,2.201268596,1.999214061
PRR18,ENSG00000176381,ENST00000322583,transcript,ENSG00000176381,2.206227162,5.114676563
AC114546.1,ENSG00000212768,ENST00000391457,transcript,ENSG00000212768,2.209171695,14.86302537
MTRNR2L8,ENSG00000255823,ENST00000536684,transcript,ENSG00000255823,2.241446202,15.46705556
FRAT1,ENSG00000165879,ENST00000371021,transcript,ENSG00000165879,2.255677846,20.27025103
ARL11,ENSG00000152213,ENST00000282026,transcript,ENSG00000152213,2.272218182,63.22505612
AMY1A,ENSG00000237763,ENST00000370083,transcript,ENSG00000237763,2.279559624,3.538557109
GOLGA8B,ENSG00000215252,ENST00000267731,transcript,ENSG00000215252,2.300585877,6.421717752
AGAP10,ENSG00000204172,ENST00000413193,transcript,ENSG00000204172,2.305053945,3.751569264
RTN4RL1,ENSG00000185924,ENST00000331238,transcript,ENSG00000185924,2.30998972,40.63621597
AC120194.1,ENSG00000213002,ENST00000391684,transcript,ENSG00000213002,2.312488698,10.94361597
REXO1L1,ENSG00000205176,ENST00000379010,transcript,ENSG00000205176,2.314115146,7.606478919
TCF24,ENSG00000261787,ENST00000563496,transcript,ENSG00000261787,2.316520474,12.98157497
PP13439,ENSG00000183657,ENST00000331659,transcript,ENSG00000183657,2.346325661,20.80764167
RIMBP3B,ENSG00000196934,ENST00000434111,transcript,ENSG00000196934,2.356207336,2.770545984
TPBGL,ENSG00000261594,ENST00000562197,transcript,ENSG00000261594,2.360558696,5.330577238
NBPF24,ENSG00000203836,ENST00000369228,transcript,ENSG00000203836,2.439136672,2.323942154
GAGE2C,ENSG00000236249,ENST00000381708,transcript,ENSG00000236249,2.441736574,3.058059059
AC131971.1,ENSG00000183562,ENST00000332881,transcript,ENSG00000183562,2.445274704,26.11118079
CITED4,ENSG00000179862,ENST00000372638,transcript,ENSG00000179862,2.452918101,5.253549746
ZBED3,ENSG00000132846,ENST00000255198,transcript,ENSG00000132846,2.457882017,2.899531617
ZNF781,ENSG00000196381,ENST00000358582,transcript,ENSG00000196381,2.476593918,27.10161124
GOLGA8G,ENSG00000183629,ENST00000525590,transcript,ENSG00000183629,2.493286681,2.795471455
PLGLB1,ENSG00000183281,ENST00000355705,transcript,ENSG00000183281,2.496664349,3.067259434
GAGE12H,ENSG00000224902,ENST00000381722,transcript,ENSG00000224902,2.5136106,3.142191005
PURB,ENSG00000146676,ENST00000395699,transcript,ENSG00000146676,2.527270449,44.25777575
TMSB4Y,ENSG00000154620,ENST00000284856,transcript,ENSG00000154620,2.542121947,20.54101938
RGPD1,ENSG00000187627,ENST00000559485,transcript,ENSG00000187627,2.550871999,2.772439116
BLACE,ENSG00000204960,ENST00000378120,transcript,ENSG00000204960,2.557734039,47.18084171
RNF222,ENSG00000189051,ENST00000399398,transcript,ENSG00000189051,2.557785337,30.19289091
ARL17B,ENSG00000228696,ENST00000450673,transcript,ENSG00000228696,2.56101605,3.551368826
CHRM3,ENSG00000133019,ENST00000255380,transcript,ENSG00000133019,2.57469616,78.61337252
FP15737,ENSG00000215298,ENST00000399967,transcript,ENSG00000215298,2.581720866,19.56717847
SMIM5,ENSG00000204323,ENST00000537494,transcript,ENSG00000204323,2.593633199,29.91767444
C12orf61,ENSG00000221949,ENST00000408887,transcript,ENSG00000221949,2.600996704,16.72883384
CYP4F31P,ENSG00000178206,ENST00000416266,transcript,ENSG00000178206,2.611488241,37.40319774
RP11-342M21.2,ENSG00000259202,ENST00000558463,transcript,ENSG00000259202,2.616221435,12.05276129
AC009365.3,ENSG00000183470,ENST00000332558,transcript,ENSG00000183470,2.624596368,36.57887407
PRAMEF13,ENSG00000204495,ENST00000376132,transcript,ENSG00000204495,2.638567661,7.547782252
FAM229A,ENSG00000225828,ENST00000432622,transcript,ENSG00000225828,2.641158541,3.236362668
POTEB2,ENSG00000230031,ENST00000454856,transcript,ENSG00000230031,2.649557154,2.699262967
UCN2,ENSG00000145040,ENST00000273610,transcript,ENSG00000145040,2.664893617,29.98991667
FOXD4L6,ENSG00000204793,ENST00000377473,transcript,ENSG00000204793,2.708393563,5.540698529
RP11-268J15.5,ENSG00000116883,ENST00000373137,transcript,ENSG00000116883,2.750272836,53.57313707
FAM27B,ENSG00000170215,ENST00000377484,transcript,ENSG00000170215,2.758486282,5.972349265
RNF223,ENSG00000237330,ENST00000453464,transcript,ENSG00000237330,2.781808696,11.41749652
GAGE2D,ENSG00000240257,ENST00000404720,transcript,ENSG00000240257,2.784326583,3.435209378
CHMP1B,ENSG00000255112,ENST00000526991,transcript,ENSG00000255112,2.796294565,67.45207873
AL161915.1,ENSG00000212670,ENST00000391366,transcript,ENSG00000212670,2.804221032,11.31052513
SSX4,ENSG00000204645,ENST00000376886,transcript,ENSG00000204645,2.813882976,3.550878891
NPIPB8,ENSG00000255524,ENST00000529716,transcript,ENSG00000255524,2.836517554,7.033863829
SPDYE2,ENSG00000205238,ENST00000507918,transcript,ENSG00000205238,2.842280875,2.940579062
AL450307.1,ENSG00000189275,ENST00000341866,transcript,ENSG00000189275,2.854256544,39.35578903
C1orf229,ENSG00000221953,ENST00000408893,transcript,ENSG00000221953,2.858208242,8.613178059
RP13-996F3.5,ENSG00000215749,ENST00000559949,transcript,ENSG00000215749,2.90184591,2.838084896
GATSL2,ENSG00000198750,ENST00000426327,transcript,ENSG00000198750,2.933355658,4.111161288
SLC25A53,ENSG00000176274,ENST00000357421,transcript,ENSG00000176274,2.9371165,65.3610188
MTRNR2L2,ENSG00000271043,ENST00000604882,transcript,ENSG00000271043,2.944959499,24.14188095
AF131215.5,ENSG00000215346,ENST00000400102,transcript,ENSG00000215346,2.966229867,32.08832083
AC016586.1,ENSG00000205147,ENST00000535853,transcript,ENSG00000205147,2.976798915,13.28217348
KCTD12,ENSG00000178695,ENST00000377474,transcript,ENSG00000178695,2.986782515,35.75094933
NPIPB3,ENSG00000169246,ENST00000458643,transcript,ENSG00000169246,2.987088188,3.463906434
AL356356.1,ENSG00000225996,ENST00000538795,transcript,ENSG00000225996,2.99295931,41.38785506
RP11-1085N6.3,ENSG00000259133,ENST00000556696,transcript,ENSG00000259133,3.025287848,12.40705188
C10orf85,ENSG00000177234,ENST00000369071,transcript,ENSG00000177234,3.032961655,13.5422651
PAPPA-AS1,ENSG00000256040,ENST00000445861,transcript,ENSG00000256040,3.035647936,21.58418137
SOX11,ENSG00000176887,ENST00000322002,transcript,ENSG00000176887,3.036749834,38.77792071
ZCCHC18,ENSG00000166707,ENST00000537356,transcript,ENSG00000166707,3.039616222,57.80860546
AC104472.1,ENSG00000214919,ENST00000399242,transcript,ENSG00000214919,3.047748515,10.09765521
C1orf233,ENSG00000228594,ENST00000422725,transcript,ENSG00000228594,3.053773744,8.882318224
PRAMEF14,ENSG00000204481,ENST00000334600,transcript,ENSG00000204481,3.122676396,10.61814869
ZNF140,ENSG00000196387,ENST00000355557,transcript,ENSG00000196387,3.15558923,3.722419154
NXF2,ENSG00000185554,ENST00000395088,transcript,ENSG00000185554,3.17039974,5.206065428
SNN,ENSG00000184602,ENST00000329565,transcript,ENSG00000184602,3.173025432,63.11224242
ZNF322,ENSG00000181315,ENST00000415922,transcript,ENSG00000181315,3.186159003,43.0820896
KB-1507C5.2,ENSG00000253320,ENST00000522939,transcript,ENSG00000253320,3.188595389,7.668233333
EIF3CL,ENSG00000205609,ENST00000398943,transcript,ENSG00000205609,3.19012446,3.193445477
FAM106A,ENSG00000213077,ENST00000392176,transcript,ENSG00000213077,3.206364621,26.63142327
DLEU7,ENSG00000186047,ENST00000400393,transcript,ENSG00000186047,3.234789851,27.37715216
GPR82,ENSG00000171657,ENST00000302548,transcript,ENSG00000171657,3.244865021,49.4365506
TMEM238,ENSG00000233493,ENST00000444469,transcript,ENSG00000233493,3.249106535,10.77135501
AC026310.1,ENSG00000268865,ENST00000599478,transcript,ENSG00000268865,3.266434377,5.821852992
NANOS1,ENSG00000188613,ENST00000425699,transcript,ENSG00000188613,3.285466479,15.05707206
GOLGA8N,ENSG00000232653,ENST00000448387,transcript,ENSG00000232653,3.303854815,4.349598354
RP11-1102P16.1,ENSG00000253379,ENST00000523987,transcript,ENSG00000253379,3.353195673,11.57060976
PTRH2,ENSG00000141378,ENST00000470557,transcript,ENSG00000141378,3.398566911,69.78235717
FOXD4L5,ENSG00000204779,ENST00000377420,transcript,ENSG00000204779,3.411098044,7.861996466
TBC1D3C,ENSG00000234972,ENST00000457979,transcript,ENSG00000234972,3.455627447,3.770795957
RHOH,ENSG00000168421,ENST00000381799,transcript,ENSG00000168421,3.490839435,59.38042399
EXOSC6,ENSG00000223496,ENST00000435634,transcript,ENSG00000223496,3.494429718,6.195565098
RP11-315O6.2,ENSG00000255482,ENST00000529278,transcript,ENSG00000255482,3.506555763,16.15444298
AC023632.1,ENSG00000212997,ENST00000391679,transcript,ENSG00000212997,3.532282473,22.34714609
AC105020.1,ENSG00000203392,ENST00000435356,transcript,ENSG00000203392,3.55523431,20.8470168
C2CD4B,ENSG00000205502,ENST00000380392,transcript,ENSG00000205502,3.5696376,9.068523486
ARC,ENSG00000198576,ENST00000356613,transcript,ENSG00000198576,3.591589568,44.12085126
TMEM200C,ENSG00000206432,ENST00000581347,transcript,ENSG00000206432,3.626181225,33.25253505
CBWD3,ENSG00000196873,ENST00000360171,transcript,ENSG00000196873,3.630126605,4.019638322
PIRT,ENSG00000233670,ENST00000580256,transcript,ENSG00000233670,3.63346298,52.84850852
RP11-127H5.1,ENSG00000253350,ENST00000521923,transcript,ENSG00000253350,3.642670603,13.14739377
ZNF672,ENSG00000171161,ENST00000306562,transcript,ENSG00000171161,3.643772731,47.54514469
C2CD4C,ENSG00000183186,ENST00000332235,transcript,ENSG00000183186,3.673892713,16.30476397
FLRT2,ENSG00000185070,ENST00000330753,transcript,ENSG00000185070,3.685150919,72.90281717
CBWD5,ENSG00000147996,ENST00000377395,transcript,ENSG00000147996,3.699944827,8.70818217
AP003068.23,ENSG00000254614,ENST00000526623,transcript,ENSG00000254614,3.711707009,14.6142426
RP13-996F3.4,ENSG00000259243,ENST00000557886,transcript,ENSG00000259243,3.722046443,4.550861019
RP11-404L6.2,ENSG00000253787,ENST00000520762,transcript,ENSG00000253787,3.731905003,7.200893262
HMX1,ENSG00000215612,ENST00000400677,transcript,ENSG00000215612,3.740380586,5.753222082
C6orf195,ENSG00000164385,ENST00000296847,transcript,ENSG00000164385,3.755971757,57.34585827
RP11-1070N10.3,ENSG00000258572,ENST00000554161,transcript,ENSG00000258572,3.759581938,22.06491806
C21orf119,ENSG00000256073,ENST00000534991,transcript,ENSG00000256073,3.765737745,13.04556831
OLIG1,ENSG00000184221,ENST00000382348,transcript,ENSG00000184221,3.789697932,13.56357151
SMIM2,ENSG00000139656,ENST00000400419,transcript,ENSG00000139656,3.798549534,36.23871344
ANKRD9,ENSG00000156381,ENST00000286918,transcript,ENSG00000156381,3.831682721,11.70926196
CEBPG,ENSG00000153879,ENST00000284000,transcript,ENSG00000153879,3.831865227,55.36427556
SMN2,ENSG00000205571,ENST00000380743,transcript,ENSG00000205571,3.84485069,5.325848698
CTU1,ENSG00000142544,ENST00000421832,transcript,ENSG00000142544,3.853893328,9.756316547
TMEM246,ENSG00000165152,ENST00000374851,transcript,ENSG00000165152,3.883571209,77.96077006
C2CD4A,ENSG00000198535,ENST00000355522,transcript,ENSG00000198535,3.884348234,22.28291593
TMEM78,ENSG00000177800,ENST00000323223,transcript,ENSG00000177800,3.887223126,18.37759804
TMEM158,ENSG00000249992,ENST00000503771,transcript,ENSG00000249992,3.894009855,7.056102683
PRNT,ENSG00000180259,ENST00000326539,transcript,ENSG00000180259,3.898229767,56.72231206
CCL3L3,ENSG00000256515,ENST00000378354,transcript,ENSG00000256515,3.914344249,5.609622676
AC074091.13,ENSG00000205334,ENST00000379677,transcript,ENSG00000205334,3.943117669,34.49203265
MUM1L1,ENSG00000157502,ENST00000337685,transcript,ENSG00000157502,3.998811978,38.78876485
C22orf29,ENSG00000215012,ENST00000405640,transcript,ENSG00000215012,4.006576821,73.88151931
ARMCX3,ENSG00000102401,ENST00000341189,transcript,ENSG00000102401,4.023570943,44.94842369
C11orf87,ENSG00000185742,ENST00000327419,transcript,ENSG00000185742,4.030453659,73.44317597
AC124890.1,ENSG00000251695,ENST00000399333,transcript,ENSG00000251695,4.0499895,44.66755952
B3GALT6,ENSG00000176022,ENST00000379198,transcript,ENSG00000176022,4.070149207,11.22938607
AL360004.1,ENSG00000196979,ENST00000358748,transcript,ENSG00000196979,4.09116479,30.97282875
CHST1,ENSG00000175264,ENST00000308064,transcript,ENSG00000175264,4.135979198,74.40856285
HMGN4,ENSG00000182952,ENST00000377575,transcript,ENSG00000182952,4.144353945,54.11194074
RP11-182J1.16,ENSG00000259511,ENST00000558195,transcript,ENSG00000259511,4.182294689,5.718776127
AC025278.1,ENSG00000204752,ENST00000377296,transcript,ENSG00000204752,4.187289479,26.27846091
COLCA1,ENSG00000196167,ENST00000532918,transcript,ENSG00000196167,4.192184441,57.90224274
RP11-17M16.1,ENSG00000220032,ENST00000532511,transcript,ENSG00000220032,4.200328498,21.746537
C1orf115,ENSG00000162817,ENST00000294889,transcript,ENSG00000162817,4.214739741,37.40304064
TMEM125,ENSG00000179178,ENST00000432792,transcript,ENSG00000179178,4.215420001,37.05394614
CTXN3,ENSG00000205279,ENST00000379445,transcript,ENSG00000205279,4.250043377,84.75628807
TSPY1,ENSG00000258992,ENST00000451548,transcript,ENSG00000258992,4.27758618,4.758756172
POTED,ENSG00000166351,ENST00000299443,transcript,ENSG00000166351,4.290539745,4.876164553
SPG20OS,ENSG00000120664,ENST00000379848,transcript,ENSG00000120664,4.330249161,13.11613484
SMN1,ENSG00000172062,ENST00000380707,transcript,ENSG00000172062,4.348464772,6.3267883
C3orf27,ENSG00000198685,ENST00000356020,transcript,ENSG00000198685,4.357942708,62.3833311
LDOC1L,ENSG00000188636,ENST00000341255,transcript,ENSG00000188636,4.357986164,57.59172106
C6ORF50,ENSG00000145965,ENST00000356722,transcript,ENSG00000145965,4.358580123,18.68500065
C17orf96,ENSG00000179294,ENST00000325814,transcript,ENSG00000179294,4.3759978,11.66448083
SMIM18,ENSG00000253457,ENST00000517349,transcript,ENSG00000253457,4.397727679,43.40727018
SPTSSB,ENSG00000196542,ENST00000359175,transcript,ENSG00000196542,4.399476582,61.62405702
GPRASP2,ENSG00000158301,ENST00000543253,transcript,ENSG00000158301,4.413779692,66.00366706
DEXI,ENSG00000182108,ENST00000331808,transcript,ENSG00000182108,4.439408082,39.51597439
PPP1R3D,ENSG00000132825,ENST00000370996,transcript,ENSG00000132825,4.447088849,32.93580062
DEFB107A,ENSG00000186572,ENST00000335021,transcript,ENSG00000186572,4.455738556,5.656826429
GOLGA6L10,ENSG00000205281,ENST00000439287,transcript,ENSG00000205281,4.456191425,5.411985155
NBPF6,ENSG00000186086,ENST00000444143,transcript,ENSG00000186086,4.48166201,6.742124523
SOX1,ENSG00000182968,ENST00000330949,transcript,ENSG00000182968,4.496646628,15.33929197
HS3ST5,ENSG00000249853,ENST00000312719,transcript,ENSG00000249853,4.509667823,73.50788423
CXorf24,ENSG00000196741,ENST00000357412,transcript,ENSG00000196741,4.519970598,17.51864929
AP001631.10,ENSG00000228120,ENST00000433840,transcript,ENSG00000228120,4.522266423,8.628094043
SCRT2,ENSG00000215397,ENST00000246104,transcript,ENSG00000215397,4.533828837,15.44729679
UBXN10,ENSG00000162543,ENST00000375099,transcript,ENSG00000162543,4.544478372,84.63652738
KCNA1,ENSG00000111262,ENST00000382545,transcript,ENSG00000111262,4.555893898,86.65798249
RAB9B,ENSG00000123570,ENST00000243298,transcript,ENSG00000123570,4.558770899,71.89917413
IGIP,ENSG00000182700,ENST00000333305,transcript,ENSG00000182700,4.559341344,56.8176478
GAGE2B,ENSG00000231850,ENST00000381725,transcript,ENSG00000231850,4.604103076,5.672721869
