,gene_name,exon_coverage,CDS_coverage,Transcript type,transcript_id_y,Gene stable ID
67,TBC1D3G,0.911179232,0.810500498,nonsense_mediated_decay,ENST00000590913,ENSG00000161583
68,TBC1D3G,0.911179232,0.810500498,protein_coding,ENST00000341264,ENSG00000161583
69,TBC1D3G,0.911179232,0.810500498,retained_intron,ENST00000589513,ENSG00000161583
70,TBC1D3G,0.911179232,0.810500498,retained_intron,ENST00000587378,ENSG00000161583
71,TBC1D3G,0.911179232,0.810500498,processed_transcript,ENST00000587756,ENSG00000161583
72,TBC1D3G,0.911179232,0.810500498,retained_intron,ENST00000588999,ENSG00000161583
73,TBC1D3G,0.911179232,0.810500498,retained_intron,ENST00000589896,ENSG00000161583
74,TBC1D3G,0.911179232,0.810500498,protein_coding,ENST00000591542,ENSG00000161583
75,TBC1D3G,0.911179232,0.810500498,retained_intron,ENST00000586554,ENSG00000161583
76,TBC1D3G,0.911179232,0.810500498,retained_intron,ENST00000591233,ENSG00000161583
77,TBC1D3G,0.911179232,0.810500498,protein_coding,ENST00000592987,ENSG00000161583
78,TBC1D3G,0.911179232,0.810500498,processed_transcript,ENST00000588834,ENSG00000161583
79,TBC1D3G,0.911179232,0.810500498,processed_transcript,ENST00000589650,ENSG00000161583
80,TBC1D3G,0.911179232,0.810500498,protein_coding,ENST00000330458,ENSG00000161583
81,TBC1D3G,0.911179232,0.810500498,protein_coding,ENST00000535592,ENSG00000161583
82,TBC1D3G,0.911179232,0.810500498,protein_coding,ENST00000535805,ENSG00000161583
83,TBC1D3G,0.911179232,0.810500498,protein_coding,ENST00000569055,ENSG00000260287
84,CT45A6,0.674931799,0.849784241,protein_coding,ENST00000491002,ENSG00000226907
85,CT45A6,0.674931799,0.849784241,protein_coding,ENST00000448053,ENSG00000226907
86,CT45A6,0.674931799,0.849784241,protein_coding,ENST00000472834,ENSG00000226907
87,RBMY1E,0.672272494,0.870299917,nonsense_mediated_decay,ENST00000358944,ENSG00000242389
88,RBMY1E,0.672272494,0.870299917,protein_coding,ENST00000382659,ENSG00000242389
89,RBMY1E,0.672272494,0.870299917,protein_coding,ENST00000382673,ENSG00000242389
90,RBMY1E,0.672272494,0.870299917,protein_coding,ENST00000382658,ENSG00000242389
91,TRNP1,0.371534371,0.882809939,protein_coding,ENST00000522111,ENSG00000253368
92,TRNP1,0.371534371,0.882809939,protein_coding,ENST00000531285,ENSG00000253368
93,SPACA5B,0.962261852,0.967418995,protein_coding,ENST00000304270,ENSG00000171478
94,SPACA5B,0.962261852,0.967418995,protein_coding,ENST00000594756,ENSG00000268393
95,SRSF10,1.031301882,0.977763885,protein_coding,ENST00000433682,ENSG00000215699
96,SRSF10,1.031301882,0.977763885,protein_coding,ENST00000374457,ENSG00000215699
97,SRSF10,1.031301882,0.977763885,protein_coding,ENST00000374449,ENSG00000215699
98,SRSF10,1.031301882,0.977763885,protein_coding,ENST00000344989,ENSG00000188529
99,SRSF10,1.031301882,0.977763885,protein_coding,ENST00000453840,ENSG00000188529
100,SRSF10,1.031301882,0.977763885,processed_transcript,ENST00000341154,ENSG00000188529
101,SRSF10,1.031301882,0.977763885,protein_coding,ENST00000484146,ENSG00000188529
102,SRSF10,1.031301882,0.977763885,nonsense_mediated_decay,ENST00000473858,ENSG00000188529
103,SRSF10,1.031301882,0.977763885,protein_coding,ENST00000374452,ENSG00000188529
104,SRSF10,1.031301882,0.977763885,protein_coding,ENST00000374453,ENSG00000188529
105,SRSF10,1.031301882,0.977763885,protein_coding,ENST00000343255,ENSG00000188529
106,SRSF10,1.031301882,0.977763885,protein_coding,ENST00000492112,ENSG00000188529
107,SRSF10,1.031301882,0.977763885,retained_intron,ENST00000485841,ENSG00000188529
108,SRSF10,1.031301882,0.977763885,processed_transcript,ENST00000338597,ENSG00000188529
109,SRSF10,1.031301882,0.977763885,nonsense_mediated_decay,ENST00000495785,ENSG00000188529
110,SRSF10,1.031301882,0.977763885,processed_transcript,ENST00000473754,ENSG00000188529
111,SRSF10,1.031301882,0.977763885,processed_transcript,ENST00000497214,ENSG00000188529
112,SRSF10,1.031301882,0.977763885,processed_transcript,ENST00000485292,ENSG00000188529
113,SRSF10,1.031301882,0.977763885,retained_intron,ENST00000469303,ENSG00000188529
114,ANKRD20A3,0.957447731,0.980645423,nonsense_mediated_decay,ENST00000417703,ENSG00000132498
115,ANKRD20A3,0.957447731,0.980645423,processed_transcript,ENST00000344538,ENSG00000132498
116,ANKRD20A3,0.957447731,0.980645423,protein_coding,ENST00000254835,ENSG00000132498
117,ANKRD20A3,0.957447731,0.980645423,processed_transcript,ENST00000473324,ENSG00000132498
118,ANKRD20A3,0.957447731,0.980645423,processed_transcript,ENST00000485255,ENSG00000132498
119,MAGED4,1.171783198,1.306705892,processed_transcript,ENST00000471932,ENSG00000154545
120,MAGED4,1.171783198,1.306705892,processed_transcript,ENST00000459685,ENSG00000154545
121,MAGED4,1.171783198,1.306705892,protein_coding,ENST00000375626,ENSG00000154545
122,MAGED4,1.171783198,1.306705892,processed_transcript,ENST00000477634,ENSG00000154545
123,MAGED4,1.171783198,1.306705892,processed_transcript,ENST00000498483,ENSG00000154545
124,MAGED4,1.171783198,1.306705892,processed_transcript,ENST00000467526,ENSG00000154545
125,MAGED4,1.171783198,1.306705892,processed_transcript,ENST00000474812,ENSG00000154545
126,MAGED4,1.171783198,1.306705892,processed_transcript,ENST00000479281,ENSG00000154545
127,MAGED4,1.171783198,1.306705892,processed_transcript,ENST00000497416,ENSG00000154545
128,MAGED4,1.171783198,1.306705892,processed_transcript,ENST00000497348,ENSG00000154545
129,MAGED4,1.171783198,1.306705892,protein_coding,ENST00000416960,ENSG00000154545
130,POTEB,1.242855741,1.421753732,nonsense_mediated_decay,ENST00000435397,ENSG00000233917
131,POTEB,1.242855741,1.421753732,protein_coding,ENST00000439682,ENSG00000233917
132,POTEB,1.242855741,1.421753732,processed_transcript,ENST00000553662,ENSG00000233917
133,POTEB,1.242855741,1.421753732,processed_transcript,ENST00000570157,ENSG00000233917
134,PTPN20A,1.485316198,1.486159646,processed_transcript,ENST00000374340,ENSG00000204179
135,PTPN20A,1.485316198,1.486159646,protein_coding,ENST00000395721,ENSG00000204179
136,PTPN20A,1.485316198,1.486159646,processed_transcript,ENST00000246887,ENSG00000204179
137,PTPN20A,1.485316198,1.486159646,processed_transcript,ENST00000509181,ENSG00000204179
138,PTPN20A,1.485316198,1.486159646,protein_coding,ENST00000374346,ENSG00000204179
139,PTPN20A,1.485316198,1.486159646,protein_coding,ENST00000508602,ENSG00000204179
140,PTPN20A,1.485316198,1.486159646,protein_coding,ENST00000374339,ENSG00000204179
141,PTPN20A,1.485316198,1.486159646,protein_coding,ENST00000395727,ENSG00000204179
142,PTPN20A,1.485316198,1.486159646,protein_coding,ENST00000509900,ENSG00000204179
143,PTPN20A,1.485316198,1.486159646,protein_coding,ENST00000503851,ENSG00000204179
144,PTPN20A,1.485316198,1.486159646,protein_coding,ENST00000506080,ENSG00000204179
145,PTPN20A,1.485316198,1.486159646,protein_coding,ENST00000513266,ENSG00000204179
146,PTPN20A,1.485316198,1.486159646,protein_coding,ENST00000502705,ENSG00000204179
147,PTPN20A,1.485316198,1.486159646,protein_coding,ENST00000505814,ENSG00000204179
148,PTPN20A,1.485316198,1.486159646,protein_coding,ENST00000509774,ENSG00000204179
149,PTPN20A,1.485316198,1.486159646,protein_coding,ENST00000511769,ENSG00000204179
150,PTPN20A,1.485316198,1.486159646,processed_transcript,ENST00000513159,ENSG00000204179
151,PTPN20A,1.485316198,1.486159646,protein_coding,ENST00000509599,ENSG00000204179
152,PTPN20A,1.485316198,1.486159646,processed_transcript,ENST00000508715,ENSG00000204179
153,PTPN20A,1.485316198,1.486159646,nonsense_mediated_decay,ENST00000510335,ENSG00000204179
154,PTPN20A,1.485316198,1.486159646,protein_coding,ENST00000513156,ENSG00000204179
155,PTPN20A,1.485316198,1.486159646,protein_coding,ENST00000502254,ENSG00000204179
156,PTPN20A,1.485316198,1.486159646,processed_transcript,ENST00000513756,ENSG00000204179
157,PTPN20A,1.485316198,1.486159646,protein_coding,ENST00000417004,ENSG00000204179
158,PTPN20A,1.485316198,1.486159646,nonsense_mediated_decay,ENST00000508357,ENSG00000204179
159,PTPN20A,1.485316198,1.486159646,retained_intron,ENST00000466912,ENSG00000204179
160,PTPN20A,1.485316198,1.486159646,protein_coding,ENST00000506881,ENSG00000204179
161,PTPN20A,1.485316198,1.486159646,protein_coding,ENST00000437863,ENSG00000204179
162,PTPN20A,1.485316198,1.486159646,protein_coding,ENST00000374342,ENSG00000204179
163,PTPN20A,1.485316198,1.486159646,protein_coding,ENST00000395722,ENSG00000204179
164,PTPN20A,1.485316198,1.486159646,protein_coding,ENST00000374218,ENSG00000204179
165,PTPN20A,1.485316198,1.486159646,protein_coding,ENST00000395725,ENSG00000204179
166,ZNF705D,0.384324748,1.502214601,protein_coding,ENST00000400085,ENSG00000215343
167,FKSG52,1.5247832,1.521134946,protein_coding,ENST00000412930,ENSG00000224838
168,KM-PA-2,1.538945792,1.546402519,protein_coding,ENST00000377412,ENSG00000204775
169,AC104057.1,1.005514382,1.554123509,protein_coding,ENST00000593865,ENSG00000269558
170,PGA4,1.158250284,1.624023105,protein_coding,ENST00000378149,ENSG00000229183
171,PGA4,1.158250284,1.624023105,retained_intron,ENST00000543193,ENSG00000229183
172,PGA4,1.158250284,1.624023105,retained_intron,ENST00000541743,ENSG00000229183
173,PGA4,1.158250284,1.624023105,retained_intron,ENST00000545726,ENSG00000229183
174,PGA4,1.158250284,1.624023105,retained_intron,ENST00000539581,ENSG00000229183
175,PGA4,1.158250284,1.624023105,protein_coding,ENST00000537932,ENSG00000229183
176,PGA4,1.158250284,1.624023105,protein_coding,ENST00000544899,ENSG00000229183
177,PGA4,1.158250284,1.624023105,protein_coding,ENST00000422676,ENSG00000229183
178,AL353698.1,0.368322591,1.760549733,protein_coding,ENST00000433279,ENSG00000233889
179,NPIPA2,1.789114009,1.793382542,protein_coding,ENST00000530328,ENSG00000254852
180,NPIPA2,1.789114009,1.793382542,protein_coding,ENST00000529166,ENSG00000254852
181,NPIPA2,1.789114009,1.793382542,protein_coding,ENST00000553201,ENSG00000254852
182,PRAMEF3,1.787184518,1.821137026,protein_coding,ENST00000353410,ENSG00000204503
183,PRAMEF3,1.787184518,1.821137026,protein_coding,ENST00000376173,ENSG00000204503
184,NPIPB5,1.15441495,1.878292344,processed_transcript,ENST00000415654,ENSG00000243716
185,NPIPB5,1.15441495,1.878292344,protein_coding,ENST00000415833,ENSG00000243716
186,NPIPB5,1.15441495,1.878292344,processed_transcript,ENST00000546168,ENSG00000243716
187,NPIPB5,1.15441495,1.878292344,protein_coding,ENST00000543407,ENSG00000243716
188,NPIPB5,1.15441495,1.878292344,protein_coding,ENST00000356156,ENSG00000243716
189,NPIPB5,1.15441495,1.878292344,protein_coding,ENST00000541154,ENSG00000243716
190,NPIPB5,1.15441495,1.878292344,nonsense_mediated_decay,ENST00000545375,ENSG00000243716
191,NPIPB5,1.15441495,1.878292344,protein_coding,ENST00000536620,ENSG00000243716
192,NPIPB5,1.15441495,1.878292344,nonsense_mediated_decay,ENST00000544308,ENSG00000243716
193,NPIPB5,1.15441495,1.878292344,processed_transcript,ENST00000538509,ENSG00000243716
194,NPIPB5,1.15441495,1.878292344,nonsense_mediated_decay,ENST00000521555,ENSG00000243716
195,NPIPB5,1.15441495,1.878292344,protein_coding,ENST00000538606,ENSG00000243716
196,NPIPB5,1.15441495,1.878292344,nonsense_mediated_decay,ENST00000542518,ENSG00000243716
197,NPIPB5,1.15441495,1.878292344,processed_transcript,ENST00000540704,ENSG00000243716
198,NPIPB5,1.15441495,1.878292344,protein_coding,ENST00000517539,ENSG00000243716
199,NPIPB5,1.15441495,1.878292344,nonsense_mediated_decay,ENST00000541664,ENSG00000243716
200,NPIPB5,1.15441495,1.878292344,protein_coding,ENST00000528249,ENSG00000243716
201,NPIPB5,1.15441495,1.878292344,nonsense_mediated_decay,ENST00000517347,ENSG00000243716
202,NPIPB5,1.15441495,1.878292344,retained_intron,ENST00000539929,ENSG00000243716
203,NPIPB5,1.15441495,1.878292344,retained_intron,ENST00000543997,ENSG00000243716
204,NPIPB5,1.15441495,1.878292344,retained_intron,ENST00000538590,ENSG00000243716
205,NPIPB5,1.15441495,1.878292344,nonsense_mediated_decay,ENST00000539604,ENSG00000243716
206,NPIPB5,1.15441495,1.878292344,retained_intron,ENST00000442450,ENSG00000243716
207,NPIPB5,1.15441495,1.878292344,protein_coding,ENST00000424340,ENSG00000243716
208,AGAP4,1.326812645,1.890888701,protein_coding,ENST00000448048,ENSG00000188234
209,AGAP4,1.326812645,1.890888701,processed_transcript,ENST00000430779,ENSG00000188234
210,AGAP4,1.326812645,1.890888701,protein_coding,ENST00000492347,ENSG00000188234
211,AGAP4,1.326812645,1.890888701,retained_intron,ENST00000495243,ENSG00000188234
212,AGAP4,1.326812645,1.890888701,retained_intron,ENST00000490752,ENSG00000188234
213,AGAP4,1.326812645,1.890888701,protein_coding,ENST00000342551,ENSG00000264842
214,AGAP4,1.326812645,1.890888701,processed_transcript,ENST00000582340,ENSG00000264842
215,AGAP4,1.326812645,1.890888701,protein_coding,ENST00000579115,ENSG00000264842
216,AGAP4,1.326812645,1.890888701,retained_intron,ENST00000583735,ENSG00000264842
217,AGAP4,1.326812645,1.890888701,retained_intron,ENST00000584801,ENSG00000264842
218,AMY1B,1.631112074,1.944683195,protein_coding,ENST00000370080,ENSG00000174876
219,AMY1B,1.631112074,1.944683195,processed_transcript,ENST00000464691,ENSG00000174876
220,AMY1B,1.631112074,1.944683195,protein_coding,ENST00000446703,ENSG00000174876
221,AMY1B,1.631112074,1.944683195,protein_coding,ENST00000425410,ENSG00000174876
222,AMY1B,1.631112074,1.944683195,protein_coding,ENST00000330330,ENSG00000174876
223,DEFB105B,1.873453503,1.971944003,protein_coding,ENST00000335510,ENSG00000186599
224,DUX4L4,1.925720716,1.97382995,protein_coding,ENST00000566884,ENSG00000260665
225,DUX4L4,1.925720716,1.97382995,protein_coding,ENST00000604656,ENSG00000258834
226,DUX4L4,1.925720716,1.97382995,protein_coding,ENST00000554637,ENSG00000258834
227,DUX4L4,1.925720716,1.97382995,protein_coding,ENST00000538692,ENSG00000258834
228,NPIPA7,2.201268596,1.999214061,processed_transcript,ENST00000540039,ENSG00000183889
229,NPIPA7,2.201268596,1.999214061,processed_transcript,ENST00000536260,ENSG00000183889
230,NPIPA7,2.201268596,1.999214061,processed_transcript,ENST00000537112,ENSG00000183889
231,NPIPA7,2.201268596,1.999214061,processed_transcript,ENST00000537085,ENSG00000183889
232,NPIPA7,2.201268596,1.999214061,protein_coding,ENST00000381497,ENSG00000183889
233,NPIPA7,2.201268596,1.999214061,processed_transcript,ENST00000538085,ENSG00000183889
234,NPIPA7,2.201268596,1.999214061,retained_intron,ENST00000534258,ENSG00000183889
235,NPIPA7,2.201268596,1.999214061,processed_transcript,ENST00000535961,ENSG00000183889
236,NPIPA7,2.201268596,1.999214061,protein_coding,ENST00000524823,ENSG00000183889
237,NPIPA7,2.201268596,1.999214061,retained_intron,ENST00000283050,ENSG00000183889
238,NPIPA7,2.201268596,1.999214061,protein_coding,ENST00000527703,ENSG00000183889
239,NPIPA7,2.201268596,1.999214061,protein_coding,ENST00000331436,ENSG00000183889
240,NPIPA7,2.201268596,1.999214061,protein_coding,ENST00000541593,ENSG00000183889
241,NPIPA7,2.201268596,1.999214061,protein_coding,ENST00000530217,ENSG00000214967
242,NPIPA7,2.201268596,1.999214061,protein_coding,ENST00000344087,ENSG00000214967
243,NPIPA7,2.201268596,1.999214061,protein_coding,ENST00000422673,ENSG00000214967
244,NPIPA7,2.201268596,1.999214061,protein_coding,ENST00000327792,ENSG00000214967
245,NPIPA7,2.201268596,1.999214061,protein_coding,ENST00000545114,ENSG00000233024
246,NPIPA7,2.201268596,1.999214061,protein_coding,ENST00000427999,ENSG00000233024
247,NPIPA7,2.201268596,1.999214061,protein_coding,ENST00000528301,ENSG00000233024
248,NPIPA7,2.201268596,1.999214061,retained_intron,ENST00000526166,ENSG00000233024
249,NPIPA7,2.201268596,1.999214061,processed_transcript,ENST00000546267,ENSG00000233024
250,NPIPA7,2.201268596,1.999214061,retained_intron,ENST00000533010,ENSG00000233024
251,NPIPA7,2.201268596,1.999214061,processed_transcript,ENST00000543228,ENSG00000233024
252,NPIPA7,2.201268596,1.999214061,protein_coding,ENST00000541810,ENSG00000233024
253,NPIPA7,2.201268596,1.999214061,protein_coding,ENST00000531453,ENSG00000233024
254,SPDYE2B,1.804847268,2.00726033,protein_coding,ENST00000507450,ENSG00000173678
255,SPDYE2B,1.804847268,2.00726033,protein_coding,ENST00000455020,ENSG00000173678
256,SPDYE2B,1.804847268,2.00726033,protein_coding,ENST00000436228,ENSG00000173678
257,NBPF11,1.118918296,2.021738387,protein_coding,ENST00000604938,ENSG00000152042
258,NBPF11,1.118918296,2.021738387,retained_intron,ENST00000604393,ENSG00000152042
259,NBPF11,1.118918296,2.021738387,nonsense_mediated_decay,ENST00000603515,ENSG00000152042
260,NBPF11,1.118918296,2.021738387,nonsense_mediated_decay,ENST00000604517,ENSG00000152042
261,NBPF11,1.118918296,2.021738387,nonsense_mediated_decay,ENST00000604906,ENSG00000152042
262,NBPF11,1.118918296,2.021738387,protein_coding,ENST00000605317,ENSG00000152042
263,NBPF11,1.118918296,2.021738387,protein_coding,ENST00000479926,ENSG00000152042
264,NBPF11,1.118918296,2.021738387,protein_coding,ENST00000604894,ENSG00000152042
265,NBPF11,1.118918296,2.021738387,protein_coding,ENST00000401010,ENSG00000152042
266,NBPF11,1.118918296,2.021738387,protein_coding,ENST00000339388,ENSG00000152042
267,NBPF11,1.118918296,2.021738387,protein_coding,ENST00000369323,ENSG00000152042
268,NBPF11,1.118918296,2.021738387,protein_coding,ENST00000401009,ENSG00000152042
269,NBPF11,1.118918296,2.021738387,protein_coding,ENST00000580077,ENSG00000263956
270,NPIPA8,1.448404476,2.034548221,protein_coding,ENST00000525596,ENSG00000214940
271,NPIPA8,1.448404476,2.034548221,protein_coding,ENST00000545050,ENSG00000214940
272,NPIPA8,1.448404476,2.034548221,protein_coding,ENST00000339303,ENSG00000214940
273,PLGLB2,1.56618603,2.048961638,protein_coding,ENST00000359481,ENSG00000125551
274,PLGLB2,1.56618603,2.048961638,nonsense_mediated_decay,ENST00000410086,ENSG00000125551
275,PLGLB2,1.56618603,2.048961638,retained_intron,ENST00000465361,ENSG00000125551
276,MBD3L4,1.643682318,2.067674285,protein_coding,ENST00000381394,ENSG00000205718
277,NPIPB9,1.205594392,2.067953794,protein_coding,ENST00000357796,ENSG00000196993
278,NPIPB9,1.205594392,2.067953794,protein_coding,ENST00000550983,ENSG00000196993
279,NPIPB9,1.205594392,2.067953794,protein_coding,ENST00000435324,ENSG00000196993
280,NBPF16,1.618955847,2.072574604,protein_coding,ENST00000417839,ENSG00000203827
281,ANKRD20A2,1.135411749,2.112453839,protein_coding,ENST00000377601,ENSG00000183148
282,ANKRD20A2,1.135411749,2.112453839,processed_transcript,ENST00000477139,ENSG00000183148
283,PNRC2,0.81109701,2.288808339,protein_coding,ENST00000400776,ENSG00000215700
284,PNRC2,0.81109701,2.288808339,protein_coding,ENST00000471915,ENSG00000189266
285,PNRC2,0.81109701,2.288808339,protein_coding,ENST00000334351,ENSG00000189266
286,PNRC2,0.81109701,2.288808339,protein_coding,ENST00000374468,ENSG00000189266
287,PNRC2,0.81109701,2.288808339,protein_coding,ENST00000579103,ENSG00000189266
288,NBPF24,2.439136672,2.323942154,nonsense_mediated_decay,ENST00000480568,ENSG00000203836
289,NBPF24,2.439136672,2.323942154,nonsense_mediated_decay,ENST00000474625,ENSG00000203836
290,NBPF24,2.439136672,2.323942154,protein_coding,ENST00000369226,ENSG00000203836
291,NBPF24,2.439136672,2.323942154,protein_coding,ENST00000369228,ENSG00000203836
292,NBPF24,2.439136672,2.323942154,processed_transcript,ENST00000481201,ENSG00000203836
293,NBPF24,2.439136672,2.323942154,processed_transcript,ENST00000475597,ENSG00000203836
294,NBPF24,2.439136672,2.323942154,processed_transcript,ENST00000469181,ENSG00000203836
295,NBPF24,2.439136672,2.323942154,processed_transcript,ENST00000470042,ENSG00000203836
296,NBPF24,2.439136672,2.323942154,processed_transcript,ENST00000606982,ENSG00000203836
297,TBC1D3B,2.020185324,2.330863902,protein_coding,ENST00000454519,ENSG00000224226
298,TBC1D3B,2.020185324,2.330863902,retained_intron,ENST00000588574,ENSG00000224226
299,TBC1D3B,2.020185324,2.330863902,protein_coding,ENST00000586369,ENSG00000224226
300,TBC1D3B,2.020185324,2.330863902,protein_coding,ENST00000589443,ENSG00000224226
301,TBC1D3B,2.020185324,2.330863902,nonsense_mediated_decay,ENST00000589139,ENSG00000224226
302,TBC1D3B,2.020185324,2.330863902,protein_coding,ENST00000398801,ENSG00000224226
303,TBC1D3B,2.020185324,2.330863902,protein_coding,ENST00000565346,ENSG00000260069
304,TBC1D3B,2.020185324,2.330863902,protein_coding,ENST00000568769,ENSG00000260069
305,F8A1,6.130909372,2.356396866,protein_coding,ENST00000369446,ENSG00000197932
306,F8A1,6.130909372,2.356396866,protein_coding,ENST00000607939,ENSG00000272623
307,GAGE13,1.913570851,2.395273039,protein_coding,ENST00000381751,ENSG00000237597
308,RGPD2,2.185997147,2.455039979,protein_coding,ENST00000398146,ENSG00000185304
309,RGPD2,2.185997147,2.455039979,processed_transcript,ENST00000494592,ENSG00000185304
310,RGPD2,2.185997147,2.455039979,protein_coding,ENST00000420840,ENSG00000185304
311,RGPD2,2.185997147,2.455039979,protein_coding,ENST00000327544,ENSG00000185304
312,DEFB107B,1.865884459,2.478193214,protein_coding,ENST00000355602,ENSG00000198129
